,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
1292,2017,20698,Manual,17381,Diesel,150,47.9,2
17849,2019,16000,Manual,2498,Diesel,145,58.9,1.5
10147,2018,11795,Manual,17995,Petrol,145,61.4,1
13674,2017,10000,Manual,38500,Petrol,0,65.7,1
8730,2018,18200,Manual,21930,Petrol,150,39.2,1.5
12343,2019,15000,Semi-Auto,4590,Petrol,145,37.2,1.5
7061,2018,15550,Manual,8791,Petrol,145,65.7,1
8163,2017,17000,Manual,4825,Petrol,150,45.6,1.5
1685,2014,4991,Manual,31400,Petrol,30,54.3,1.2
13274,2019,11500,Manual,373,Petrol,145,47.9,1.2
16159,2018,11995,Manual,13832,Petrol,145,65.7,1
16462,2018,11495,Manual,14174,Petrol,145,61.4,1
7,2019,22500,Manual,2029,Petrol,145,50.4,1
17694,2017,14985,Automatic,20766,Petrol,235,38.2,1.5
657,2015,8998,Manual,32492,Diesel,0,74.3,1.5
978,2017,10498,Manual,26029,Diesel,0,74.3,1.5
5234,2017,8991,Manual,17436,Petrol,145,65.7,1
4833,2019,25925,Manual,878,Petrol,145,39.2,1.5
4443,2014,7950,Manual,23691,Petrol,20,60.1,1
9707,2019,14800,Manual,3631,Petrol,150,54.3,1
3205,2013,5470,Manual,76081,Diesel,20,67.3,1.6
11614,2013,6000,Manual,35000,Petrol,30,54.3,1.2
16290,2016,9450,Manual,28600,Petrol,0,65.7,1
3669,2018,10980,Manual,13672,Petrol,145,65.7,1
10059,2019,14925,Manual,12987,Petrol,150,58.9,1
14536,2019,15500,Manual,3914,Petrol,145,60.1,1
1853,2018,12998,Manual,18661,Petrol,145,57.7,1
3414,2017,17977,Manual,8237,Petrol,145,41.5,2
13998,2013,6500,Manual,34619,Petrol,30,54.3,1.2
14515,2015,6793,Manual,138000,Diesel,20,68.9,2
9808,2017,16200,Semi-Auto,54371,Diesel,125,52.3,2
5550,2019,17520,Manual,5236,Petrol,145,60.1,1
16449,2015,11599,Manual,36601,Diesel,20,67.3,2
15663,2017,7995,Manual,25406,Petrol,125,54.3,1.2
10687,2018,13000,Manual,16853,Diesel,145,74.3,1.5
17881,2018,13999,Manual,6500,Petrol,150,52.3,1
16060,2017,8699,Manual,41804,Petrol,160,44.1,1.6
13623,2015,7980,Manual,54041,Petrol,125,52.3,1
7134,2017,10995,Manual,1,Petrol,145,65.7,1
7828,2019,15460,Manual,3572,Petrol,145,60.1,1
17368,2016,9995,Manual,48000,Diesel,0,74.3,1.5
1436,2018,13567,Manual,7756,Diesel,145,74.3,1.5
15935,2015,9199,Manual,45045,Diesel,0,74.3,1.5
11996,2016,8700,Manual,27638,Petrol,20,61.4,1
11726,2017,15499,Automatic,17980,Petrol,235,38.2,1.5
497,2019,16698,Manual,18697,Petrol,145,60.1,1
8881,2017,10380,Manual,12847,Petrol,0,65.7,1
12611,2018,12500,Manual,13668,Petrol,145,56.5,1
16302,2016,10495,Automatic,11075,Petrol,160,44.8,1.5
3364,2018,10000,Manual,25062,Petrol,145,65.7,1
2555,2018,20850,Automatic,4957,Petrol,145,31,1.5
14669,2013,5448,Manual,66471,Petrol,30,54.3,1.2
5836,2017,9457,Manual,10003,Petrol,145,64.2,1.1
17557,2019,13000,Manual,34466,Diesel,150,80.7,1.5
16347,2008,3499,Manual,69676,Petrol,150,49.6,1.4
11332,2017,15000,Manual,24244,Diesel,125,60.1,2
699,2014,9298,Manual,45543,Diesel,145,53.3,2
7466,2017,8995,Manual,23851,Petrol,125,54.3,1.2
12034,2014,12390,Manual,18962,Diesel,125,60.1,2
10996,2015,9699,Manual,42214,Petrol,145,47.9,1.6
16667,2017,12949,Manual,7755,Petrol,145,57.7,1
13600,2017,11980,Manual,30680,Diesel,0,74.3,1.5
2797,2017,8890,Manual,22709,Petrol,145,44.8,1.5
12792,2017,15999,Semi-Auto,39014,Diesel,150,52.3,2
4095,2017,15498,Manual,23763,Diesel,145,54.3,2
10456,2018,13510,Automatic,13409,Petrol,145,51.4,1
10524,2018,16479,Manual,2596,Petrol,145,60.1,1
356,2018,11999,Manual,6691,Petrol,145,61.4,1
14367,2013,5995,Manual,58610,Petrol,145,47.9,1.6
3100,2013,4998,Manual,74512,Diesel,0,76.4,1.5
4649,2018,9950,Manual,4527,Petrol,145,64.2,1.1
12893,2017,12000,Manual,33310,Diesel,145,74.3,1.5
4059,2018,12000,Manual,29620,Petrol,145,65.7,1
7688,2019,26500,Manual,419,Petrol,145,34.5,2.3
4086,2018,11890,Manual,19097,Petrol,145,60.1,1
1044,2018,10498,Manual,8163,Petrol,150,55.4,1.1
17263,2011,4895,Manual,75905,Petrol,260,35.8,2
8062,2019,16900,Manual,16324,Diesel,145,47.9,2
12819,2017,10770,Manual,17283,Petrol,145,62.8,1
12358,2018,8000,Manual,11296,Petrol,145,57.7,1.2
9120,2017,8995,Manual,11345,Petrol,145,65.7,1
9184,2019,14500,Manual,10603,Petrol,150,55.4,1
7568,2019,14690,Manual,8500,Petrol,145,58.9,1
5987,2020,16990,Manual,10,Petrol,150,53.3,1
17128,2016,8000,Manual,9349,Petrol,125,54.3,1.2
17965,2018,8299,Manual,5007,Petrol,145,57.7,1.2
4607,2020,21495,Manual,10,Petrol,145,50.4,1
8567,2015,18992,Automatic,16400,Petrol,260,35.8,2
17016,2019,12099,Manual,1598,Petrol,145,58.9,1
8184,2017,10998,Manual,2033,Petrol,0,65.7,1
16709,2017,5994,Manual,119902,Diesel,265,78.5,1.5
11785,2018,8300,Manual,6771,Petrol,150,57.7,1.2
4239,2017,9998,Manual,25050,Petrol,125,53.3,1
8366,2018,11139,Manual,16742,Petrol,145,65.7,1
5917,2019,18491,Manual,6121,Petrol,145,58.9,1
2315,2019,20500,Manual,10465,Diesel,145,37.7,2
10213,2018,11885,Manual,11542,Petrol,145,56.5,1
4109,2015,6995,Manual,30381,Petrol,30,54.3,1.2
13314,2019,16000,Manual,4500,Petrol,145,49.6,1
15864,2017,10290,Manual,24088,Diesel,145,64.2,1.5
3931,2019,17981,Manual,3892,Diesel,145,80.7,1.5
16463,2016,9799,Manual,16909,Petrol,125,52.3,1
3289,2015,7798,Manual,43287,Diesel,0,74.3,1.5
16934,2016,13000,Manual,46729,Diesel,125,60.1,2
16387,2013,3990,Manual,114000,Diesel,20,67.3,1.6
689,2019,11698,Manual,18115,Petrol,145,58.9,1
7122,2019,12790,Manual,14181,Petrol,145,56.5,1
6379,2018,11500,Manual,33694,Petrol,145,65.7,1
11112,2016,9999,Manual,23325,Petrol,20,61.4,1
6585,2016,11450,Manual,51538,Diesel,150,54.3,2
8165,2016,11000,Manual,57740,Diesel,125,60.1,2
13076,2016,11100,Automatic,11306,Petrol,0,57.7,1
13518,2019,15980,Manual,4500,Petrol,150,51.4,1
12056,2019,19990,Manual,6124,Diesel,150,47.9,2
221,2018,15798,Manual,4534,Petrol,145,58.9,1
88,2019,11998,Manual,17354,Petrol,145,56.5,1
8937,2018,11400,Manual,10213,Petrol,145,65.7,1
12455,2019,16700,Automatic,12555,Petrol,145,41.5,1
6540,2017,10380,Manual,24583,Petrol,145,65.7,1
7593,2017,7350,Manual,18504,Petrol,125,54.3,1.2
5637,2014,8291,Semi-Auto,37849,Diesel,165,50.4,2
4241,2017,10698,Manual,31743,Diesel,20,68.9,1.5
17056,2009,2695,Manual,104000,Diesel,205,47.9,2
11051,2017,11287,Manual,12000,Diesel,145,88.3,1.5
17430,2015,7495,Manual,82535,Diesel,0,74.3,2
8772,2019,15000,Manual,9988,Petrol,145,58.9,1
728,2014,9298,Manual,52681,Diesel,145,53.3,2
17598,2017,11500,Manual,18413,Petrol,150,60.1,1
12679,2019,14499,Manual,8905,Petrol,145,55.4,1
15128,2019,16799,Automatic,433,Petrol,150,45.6,1
12499,2019,17500,Semi-Auto,1692,Petrol,145,45.6,1
2895,2015,9540,Manual,77251,Diesel,125,60.1,2
15673,2010,6295,Manual,34000,Petrol,145,48.7,1.4
4482,2018,13250,Manual,13638,Petrol,145,57.7,1
4087,2017,10497,Manual,27489,Petrol,20,61.4,1
11827,2016,13799,Manual,28362,Diesel,145,54.3,2
14555,2010,3493,Manual,140000,Diesel,145,53.3,2
5460,2014,6527,Manual,28572,Petrol,30,54.3,1.2
14113,2016,11999,Manual,28731,Diesel,125,60.1,2
