"","year","price","transmission","mileage","fuelType","tax","mpg","engineSize","T_price"
"527",2018,9950,"Manual",19223,"Petrol",145,61.4,1,26.516256071099
"9481",2019,21200,"Manual",10,"Petrol",150,50.4,1,31.663774786913
"4389",2019,17530,"Semi-Auto",15,"Petrol",145,48.7,1,30.2960728844115
"13016",2019,17900,"Automatic",2065,"Petrol",145,51.4,1,30.4438271972687
"5473",2015,8995,"Manual",28115,"Petrol",30,55.4,1,25.8866095384516
"14131",2015,4990,"Manual",45000,"Petrol",125,54.3,1.2,22.4530191781746
"12297",2017,8490,"Manual",30300,"Petrol",160,44.8,1.5,25.5317390856025
"10689",2017,12990,"Manual",47235,"Diesel",150,60.1,2,28.2423589396833
"560",2017,9489,"Manual",29500,"Petrol",145,52.3,1,26.2186481951987
"3807",2017,7997,"Manual",20158,"Petrol",145,54.3,1.2,25.1686185271008
"10882",2018,14999,"Manual",35553,"Diesel",145,60.1,2,29.2123152634806
"12451",2019,13000,"Manual",11276,"Petrol",145,58.9,1,28.2474755104875
"3664",2019,16191,"Manual",7942,"Petrol",145,55.4,1,29.7395940265109
"12085",2016,8990,"Manual",18200,"Petrol",0,65.7,1,25.8831750215715
"8400",2015,13549,"Manual",42322,"Diesel",20,67.3,2,28.523661971392
"2223",2019,15790,"Manual",8422,"Petrol",150,60.1,1,29.5657854808114
"12682",2019,15499,"Manual",8971,"Petrol",145,55.4,1,29.4374305210493
"16270",2014,6000,"Manual",33190,"Diesel",20,68.9,1.5,23.4839526014176
"10784",2018,14995,"Manual",2000,"Petrol",145,54.3,1,29.2104902903275
"3768",2017,7850,"Manual",11149,"Petrol",145,57.7,1.2,25.0568826470055
"5232",2020,20991,"Automatic",3767,"Diesel",145,74.3,1.5,31.5911981257146
"14879",2017,13299,"Manual",31976,"Diesel",30,61.4,2,28.399025974481
"3130",2017,10200,"Manual",23278,"Petrol",150,65.7,1,26.6730611084716
"7024",2017,18500,"Manual",31325,"Diesel",160,48.7,2,30.6783161911937
"14308",2017,10499,"Manual",23077,"Petrol",145,60.1,1,26.8566123997449
"5362",2018,18600,"Manual",14005,"Petrol",145,41.5,2,30.7168042162038
"15983",2014,7495,"Manual",29352,"Diesel",20,67.3,1.6,24.7799752017748
"1137",2015,7720,"Manual",55417,"Diesel",30,61.4,1.5,24.9566651099893
"14123",2018,8490,"Manual",12000,"Petrol",145,64.2,1.1,25.5317390856025
"10592",2017,7489,"Manual",12082,"Petrol",145,57.7,1.2,24.7752056995892
"13190",2019,21500,"Automatic",2579,"Petrol",145,28.8,1.5,31.7669577740022
"16973",2007,2795,"Manual",63000,"Petrol",145,47.1,1.2,19.4481705637253
"12616",2017,14500,"Manual",20937,"Diesel",150,60.1,2,28.9815828888789
"3479",2014,6275,"Manual",54724,"Diesel",30,62.8,1.6,23.7403961716522
"9308",2017,7595,"Manual",9714,"Petrol",30,57.7,1.2,24.8590207074637
"6955",2017,8495,"Manual",27983,"Petrol",125,54.3,1.2,25.5353344388682
"3663",2016,6991,"Manual",29775,"Petrol",125,54.3,1.2,24.3682362236904
"3225",2019,16750,"Manual",15097,"Diesel",145,56.5,1.5,29.9762276207228
